pmid,journal,title,authors,abstract,link,publication_date_raw,publication_date,publication_year,publication_month
40626753,Anesthesiology,Serratus Anterior Plane Block for Lung Resection: Comment.,Lasso Andrade FA,,https://pubmed.ncbi.nlm.nih.gov/40626753/,2025 Aug 1,2025-08-01,2025,2025-08
40626752,Anesthesiology,We Can Dream: Comment.,Smith HB; Kellen J; Lorenz A,,https://pubmed.ncbi.nlm.nih.gov/40626752/,2025 Aug 1,2025-08-01,2025,2025-08
40626751,Anesthesiology,We Can Dream: Comment.,Jaramillo Arias M; Yee AM; Vohra A,,https://pubmed.ncbi.nlm.nih.gov/40626751/,2025 Aug 1,2025-08-01,2025,2025-08
40626750,Anesthesiology,Cervical Plexus Blocks and Persistent Pain: Reply.,Zeng M; Li S; Sessler DI; Peng Y,,https://pubmed.ncbi.nlm.nih.gov/40626750/,2025 Aug 1,2025-08-01,2025,2025-08
40626749,Anesthesiology,Cervical Plexus Blocks and Persistent Pain: Comment.,Siddiqui A; Xu JL; Drugge ED; Medow MS; Abramowicz AE,,https://pubmed.ncbi.nlm.nih.gov/40626749/,2025 Aug 1,2025-08-01,2025,2025-08
40626748,Anesthesiology,Diabetes Mellitus in Pregnancy: Implications for Obstetric Anesthesia.,Rogers WK; Chugaieva I; Moheet A; Wernimont SA,"Diabetes in pregnancy is a common obstetric comorbidity that increases the risks of pregnancy-specific complications. The authors describe in this review how understanding ambulatory use of insulin can impact peripartum anesthesia care. Additionally, they describe the appropriate delivery, dosing, and timing of insulin during birth as relevant for anesthesiologists. They discuss the indications and limitations of technologies such as continuous glucose monitors and insulin pumps in pregnancy, and describe their relevance and appropriate management in the perioperative and peripartum period. Finally, the authors review the unique complication of euglycemic diabetic ketoacidosis and provide appropriate management strategies, as anesthesiologists may be in a position to recognize this complication that could otherwise be overlooked.",https://pubmed.ncbi.nlm.nih.gov/40626748/,2025 Aug 1,2025-08-01,2025,2025-08
40626747,Anesthesiology,Skin Injury after Removal of Electrode Used for Quantitative Monitoring of Neuromuscular Transmission.,Choi JA; Borovcanin Z; Lustik SJ; Wu IY,,https://pubmed.ncbi.nlm.nih.gov/40626747/,2025 Aug 1,2025-08-01,2025,2025-08
40626746,Anesthesiology,The Story of Enhancing Recovery after Surgery.,Kehlet H,"Multimodal approach to control postoperative pathophysiology and rehabilitation. By Kehlet H. Br J Anaesth 1997; 78:606-17 Major surgery is still associated with undesirable sequelae such as pain, cardiopulmonary, infective and thromboembolic complications, cerebral dysfunction, nausea and gastrointestinal paralysis, fatigue, and prolonged convalescence. The key pathogenic factor in postoperative morbidity, excluding failures of surgical and anesthetic technique, is the surgical stress response with subsequent increased demands on organ function. These changes in organ function are thought to be mediated by trauma-induced endocrine metabolic changes and activation of several biologic cascade systems (cytokines, complement, arachidonic acid metabolites, nitric oxide, free oxygen radicals, among others). To understand postoperative morbidity, it is therefore necessary to understand the pathophysiologic role of the various components of the surgical stress response and to determine whether modification of such responses may improve surgical outcome. While no single technique or drug regimen has been shown to eliminate postoperative morbidity and mortality, multimodal interventions may lead to a major reduction in the undesirable sequelae of surgical injury with improved recovery and reduction in postoperative morbidity and overall costs.",https://pubmed.ncbi.nlm.nih.gov/40626746/,2025 Aug 1,2025-08-01,2025,2025-08
40626745,Anesthesiology,Three Years On: The Impact of the Dobbs Decision on Anesthesia Practice.,Gambling DR; Vogel TM; Markley JC; Traynor AJ; Cohn JH; Morgan CL,Many individuals seeking abortion care since the Dobbs decision present at later gestations and with comorbidities. This article discusses its impact on patients and anesthesia providers and suggests opportunities to improve health outcomes.,https://pubmed.ncbi.nlm.nih.gov/40626745/,2025 Aug 1,2025-08-01,2025,2025-08
40626744,Anesthesiology,"Anesthesia, Analgesia, and Amygdala: Uncovering a Central Circuit for Pain Modulation.",Rivat C; Clark JD,,https://pubmed.ncbi.nlm.nih.gov/40626744/,2025 Aug 1,2025-08-01,2025,2025-08
40626743,Anesthesiology,Obstetric Anesthesia at a Crossroads: Reflections on a 40-year Workforce Survey.,Lim G; Leffert LM,,https://pubmed.ncbi.nlm.nih.gov/40626743/,2025 Aug 1,2025-08-01,2025,2025-08
40626742,Anesthesiology,When Memory Meets Pain: Divergent Neural Signatures of Sedative Agents.,Huang Z,,https://pubmed.ncbi.nlm.nih.gov/40626742/,2025 Aug 1,2025-08-01,2025,2025-08
40626741,Anesthesiology,"Sugammadex, Same Dose across All Age Groups: Does One Size Fit All?",Veyckemans F; Tobias JD,,https://pubmed.ncbi.nlm.nih.gov/40626741/,2025 Aug 1,2025-08-01,2025,2025-08
40626740,Anesthesiology,Nitric Oxide and Kidney Injury after Cardiac Surgery: A Solution Looking for a Problem.,Fielding-Singh V; Ghadimi K,,https://pubmed.ncbi.nlm.nih.gov/40626740/,2025 Aug 1,2025-08-01,2025,2025-08
40626739,Anesthesiology,Measuring What Matters: The Pediatric Scale for Quality of Recovery (PedSQoR).,Matava CT; McDonnell C; Davidson A,,https://pubmed.ncbi.nlm.nih.gov/40626739/,2025 Aug 1,2025-08-01,2025,2025-08
40615331,British journal of anaesthesia,Population-based multistate modelling of peritraumatic opioid use among trauma patients from the Norwegian Trauma Registry.,Engel S; Rosseland LA; Smits M; Skurtveit SO; Gran JM; Nordseth T; Roise O; Jacobsen HB,"BACKGROUND: Previous studies document high rates of long-term opioid use (LTU) among trauma patients, without accounting for opioid prescription doses, frequency, and medical indications. Using detailed LTU criteria, this study aimed to construct a multistate model of peritraumatic opioid use and elucidate reasons for posttraumatic LTU. METHODS: This population-based cohort study links data from the 2015-2018 cohorts in the Norwegian Trauma Registry (n=24 224) with outpatient medication prescription records from the Norwegian Prescription Database for 1 yr before and 2 yr after injury. LTU was assigned upon receiving >/=900 morphine milligram equivalents within 90 days and another opioid prescription 91-180 days after any initial prescription; it ended after 180 days without opioid prescriptions, emigration, or death. Prescriptions to patients with LTU in the year after injury were screened for chronic pain and palliative care reimbursement codes, and for opioid maintenance treatment preparations. RESULTS: Posttraumatic opioid prescriptions primarily increased as a result of short-term opioid use (STU), peaking at 38.2% and returning to pre-injury levels (5.4%) within 6 months. Increases in LTU were smaller (4.3% to 6.7%). Among patients with LTU in the year after injury (n=1946), 47.4% exhibited LTU and 18.3% STU in the 6 months pre-injury. Moreover, 36.0% were reimbursed for chronic pain medications, 5.9% for palliative care, and 13.1% received opioid maintenance treatment. CONCLUSIONS: In our cohort, most patients with posttraumatic long-term opioid use had used opioids before injury, underscoring the need to address such use to minimise posttraumatic long-term opioid use. Few patients with long-term opioid use received palliative care or opioid maintenance treatment, indicating subacute and chronic pain as primary indications. As long-term opioid use for pain is highly controversial, findings emphasise a need for effective nonopioid alternatives.",https://pubmed.ncbi.nlm.nih.gov/40615331/,2025 Aug,2025-08-01,2025,2025-08
40605421,Anaesthesia,Does optimisation of heart failure equate to fitness for surgery?,Vaughan-Burleigh S; Sabharwal N; Day JR,,https://pubmed.ncbi.nlm.nih.gov/40605421/,2025 Aug,2025-08-01,2025,2025-08
40598870,European journal of anaesthesiology,Critical vaporiser malfunction: stuck control dial of sevoflurane Drager Vapor 2000 during paediatric inhalational induction.,Yadav V; Khan A; Kumar M; Maitra S,,https://pubmed.ncbi.nlm.nih.gov/40598870/,2025 Aug 1,2025-08-01,2025,2025-08
40598869,European journal of anaesthesiology,"Reply to: comparative study of labour analgesia onset with injection of loading dose through epidural needle versus catheter: a prospective, double-blinded, randomised clinical trial.",Chen X; Sun L; Chen X,,https://pubmed.ncbi.nlm.nih.gov/40598869/,2025 Aug 1,2025-08-01,2025,2025-08
40598868,European journal of anaesthesiology,Association of remimazolam with delirium and cognitive function: a systematic review and meta-analysis of randomised controlled trials.,Kao CL; Liu PH,,https://pubmed.ncbi.nlm.nih.gov/40598868/,2025 Aug 1,2025-08-01,2025,2025-08
40598867,European journal of anaesthesiology,False positives or unrecognized physiology? A critical look at intra-operative hypotension prediction.,Ripolles-Melchor J; Monge Garcia MI; Espinosa AV,,https://pubmed.ncbi.nlm.nih.gov/40598867/,2025 Aug 1,2025-08-01,2025,2025-08
40598866,European journal of anaesthesiology,Reply to: pre-operative assessment of adults undergoing elective noncardiac surgery: a response.,Lamperti M; Romero CS; Guarracino F; Cammarota G; Vetrugno L; Tufegdzic B; Lozsan F; Macias Frias JJ; Duma A; Bock M; Ruetzler K; Mulero S; Reuter DA; La Via L; Rauch S; Sorbello M; Afshari A; Lamperti M,,https://pubmed.ncbi.nlm.nih.gov/40598866/,2025 Aug 1,2025-08-01,2025,2025-08
40598865,European journal of anaesthesiology,Appropriate use of a pharmacokinetic model for remimazolam target-controlled infusion.,Masui K,,https://pubmed.ncbi.nlm.nih.gov/40598865/,2025 Aug 1,2025-08-01,2025,2025-08
40598864,European journal of anaesthesiology,The forgotten role of anaesthesiologists in safe surgery abroad.,Meco BC; Ergil J; Erdem AF; Matot I; Saxena S,,https://pubmed.ncbi.nlm.nih.gov/40598864/,2025 Aug 1,2025-08-01,2025,2025-08
40576078,Anaesthesia,Regional anaesthesia for awake children.,Mao B; Fu P,,https://pubmed.ncbi.nlm.nih.gov/40576078/,2025 Aug,2025-08-01,2025,2025-08
40576061,Anaesthesia,Regional anaesthesia for awake children: a reply.,Maupain O,,https://pubmed.ncbi.nlm.nih.gov/40576061/,2025 Aug,2025-08-01,2025,2025-08
40571477,British journal of anaesthesia,Frailty and perioperative outcomes: SNAP-3 as a call to action.,McIsaac DI; Amado L,"Generalisable, prospectively collected data from 7800 older UK surgical patients in the 3(rd) Sprint National Anesthesia Project (SNAP-3) confirm that the presence of frailty is a key risk factor for adverse outcomes among older surgical patients. What comes next? Anaesthetists should strive to identify all patients with a Clinical Frailty Scale score >/=4 as being at elevated risk. Researchers, in collaboration with patients, clinicians and health system leaders, should move from a scientific focus on frailty as a risk factor to developing and evaluating interventions to improve outcomes for the growing population of surgical patients with frailty.",https://pubmed.ncbi.nlm.nih.gov/40571477/,2025 Aug,2025-08-01,2025,2025-08
40562634,British journal of anaesthesia,Frailty in the perioperative setting: lessons from SNAP-3.,Howell SJ; Dhesi JK,"The third Sprint National Anaesthesia Project (SNAP-3) is the largest prospective, multicentre UK study to examine the impact of frailty, multimorbidity, and delirium on postoperative outcomes in patients aged >/=60 yr. Conducted across 214 National Health Service (NHS) hospitals, SNAP-3 enrolled 7134 surgical patients over 5 days in March 2022. The investigators identified frailty in one-fifth of patients using multiple tools, including the Clinical Frailty Scale (CFS). Frailty was especially prevalent in emergency surgery and socioeconomically deprived populations. Multimorbidity was present in two-thirds of patients but only partially overlapped with frailty. Frailty was strongly associated with increased length of stay, delirium, complications, and mortality, with adverse outcomes escalating with higher CFS scores. In contrast, multimorbidity (without frailty) had limited association with most adverse outcomes. Directed acyclic graphs guided causal analysis, but by assuming frailty and multimorbidity were independent, the investigators might have underestimated the impact of multimorbidity. SNAP-3 highlights the need for routine perioperative frailty screening, comprehensive perioperative services, and workforce development. The data inform service planning and support prioritisation of frailty-focused care, especially in high-burden specialties and deprived areas.",https://pubmed.ncbi.nlm.nih.gov/40562634/,2025 Aug,2025-08-01,2025,2025-08
40545926,Anaesthesia,The use of blood components and their alternatives: a comment.,Rohrbacher B,,https://pubmed.ncbi.nlm.nih.gov/40545926/,2025 Aug,2025-08-01,2025,2025-08
40545921,Anaesthesia,Clarifying the role of fibrinogen concentrate in major haemorrhage: a reply.,Shah A; Stanworth SJ; Klein AA,,https://pubmed.ncbi.nlm.nih.gov/40545921/,2025 Aug,2025-08-01,2025,2025-08
40541484,British journal of anaesthesia,Sustainability assessment of perioperative patient warming devices: a comparative life cycle assessment and costing.,Rebello TA; Spoyalo K; Chhipi-Shrestha G; Hewage K; Sadiq R; MacNeill AJ,"BACKGROUND: Perioperative patient warming is an integral component of quality surgical care, subject to highly variable clinical practices. We evaluated the environmental and economic impacts of currently available patient warming methods. METHODS: We conducted a comparative life cycle assessment (LCA) and life cycle costing (LCC) of three active warming devices (forced air warmer, resistive blanket, and circulating water garment) using a functional unit of 1 h of active patient warming. Passive warming was investigated using a singular LCA and LCC of warmed flannel blankets, with the functional unit defined as the use of one warmed flannel blanket. These results were applied to eight clinical scenarios modelling different combinations of warming devices within perioperative settings. We used multicriteria decision analysis to aggregate environmental and financial impacts into sustainability indexes. RESULTS: The resistive blanket had the lowest environmental and economic impacts. The global warming potential and cumulative energy demand of the resistive blanket were <7% and 25%, respectively, of the impacts assessed for the forced air warmer. The most sustainable patient warming pathway used the resistive blanket throughout the perioperative period. Clinical scenarios using flannel blankets before and after surgery entailed the highest environmental impacts, and the highest cost was incurred with the circulating water garment. CONCLUSIONS: The environmental and economic sustainability of perioperative patient warming can be optimised by minimising flannel blankets and disposable consumables in the perioperative period and by using the resistive blanket for active warming. This study presents a novel multicriteria sustainability index and simulates clinically relevant scenarios to inform practical, evidence-based recommendations for sustainable patient warming.",https://pubmed.ncbi.nlm.nih.gov/40541484/,2025 Aug,2025-08-01,2025,2025-08
40537325,British journal of anaesthesia,Intraoperative dexmedetomidine and acute kidney injury in paediatric noncardiac surgery. Comment on Br J Anaesth 2025; 134: 453-60.,Xu N; Yang L,,https://pubmed.ncbi.nlm.nih.gov/40537325/,2025 Aug,2025-08-01,2025,2025-08
40537324,British journal of anaesthesia,The number of central nervous system-driven symptoms predicts subsequent chronic primary pain: expanding the horizons of central sensitization. Comment on Br J Anaesth 2025; 134: 772-782.,Zeng J; Zhou Z,,https://pubmed.ncbi.nlm.nih.gov/40537324/,2025 Aug,2025-08-01,2025,2025-08
40537322,British journal of anaesthesia,Life cycle assessment of reusable versus single-use disposable forced-air warming blankets.,van Oort PMP; Kerstens MK; Kampman JM; Mouws EMJP; Snijder LE; Sperna Weiland NH,,https://pubmed.ncbi.nlm.nih.gov/40537322/,2025 Aug,2025-08-01,2025,2025-08
40533323,British journal of anaesthesia,Cortical integration and control of spontaneous neuropathic pain-like behaviour in mice.,Li Z; Huang X; Ma J; Liu Q; Chen L; Liu X; Qin Q; Yang H; Han R; Li K; Hu R; Yan X; Huang Y; Huang D; Zhou H,"BACKGROUND: Spontaneous pain is commonly reported in patients with nerve injuries, posing a great challenge to physicians. However, the mechanisms underlying spontaneous pain remain largely unknown in comparison to evoked pain (e.g. allodynia and hyperalgesia). Cortical processing is vital in coding nociception, and dysfunction of anterior cingulate cortex might facilitate pain hypersensitivity. This indicates a distinct pattern of ensemble activity during spontaneous pain-like behaviour. METHODS: Combining in vivo calcium imaging and ex vivo electrophysiological recording, we explored the maladaptive changes of cortical neurones at individual and population levels induced by several models of neuropathic pain in mice. We also examined the role of the anterior cingulate cortex in the regulation of spontaneous pain-like behaviour using optogenetic methods. RESULTS: We identified a common status of cortical hyperactivity in pyramidal neurones and neural ensembles recorded in the anterior cingulate cortex. Optogenetic inhibition of the anterior cingulate cortex inhibited spontaneous pain-like behaviour, while optogenetic activation restored it. In addition, the cortical representation of spontaneous behaviour was inhibited by nerve injury, which conversely was restored with pain relief. In freely moving animals, we further demonstrated a stable mode of cortical integration in response to spontaneous grooming episodes, independent of the presence of pain, with a dynamic reconfiguration mechanism. CONCLUSIONS: Our data reveal an essential role of the anterior cingulate cortex in the processing and modulation of non-evoked reflex in distinct preclinical models of neuropathic pain in mice.",https://pubmed.ncbi.nlm.nih.gov/40533323/,2025 Aug,2025-08-01,2025,2025-08
40526440,Anesthesiology,Pediatric Regional Anesthesia: A Practical Guideline for Daily Clinical Practice.,Marhofer P; Zadrazil M; Opfermann PL,"The past two decades have seen remarkable progress in pediatric regional anesthesia. Significant efforts have been made to develop central and peripheral techniques that are both practicable and reliable, with increasing success and very low complication rates driving a growing appreciation for this subspecialty. Regional anesthesia can be used to optimize perioperative pain control, to avoid mechanical ventilation, and to take advantage of favorable immunomodulatory and gastrointestinal side effects in children. Implementing a broad spectrum of these techniques will require specialized knowledge of anatomic structures, experience to select appropriate techniques for specific surgical procedures, and considerable hand skills to execute these techniques. This review has been written to summarize state-of-the-art information about all relevant aspects of pediatric regional anesthesia and to provide a practical approach to how regional anesthesia in children can be implemented in daily clinical practice.",https://pubmed.ncbi.nlm.nih.gov/40526440/,2025 Aug 1,2025-08-01,2025,2025-08
40525493,Anaesthesia,Intra-operative ventilation: searching for the Holy Grail.,Venkatesh H; McLaren K; Shah A; Soni S,,https://pubmed.ncbi.nlm.nih.gov/40525493/,2025 Aug,2025-08-01,2025,2025-08
40514282,British journal of anaesthesia,Non-anaemic iron deficiency in surgical patients: more than just a laboratory finding?,Munoz M; Shander A,"The prevalence of non-anaemic iron deficiency among the surgical population is high. However, evidence regarding its impact on surgical patients' outcomes is scant and conflicting. Therefore, further investigations using an appropriate definition of non-anaemic iron deficiency and measuring relevant postoperative outcomes are needed to verify previous studies to determine whether non-anaemic iron deficiency is more than just a laboratory finding.",https://pubmed.ncbi.nlm.nih.gov/40514282/,2025 Aug,2025-08-01,2025,2025-08
40506341,British journal of anaesthesia,Corrigendum to 'Circadian differences in emergence from volatile anaesthesia in mice: involvement of the locus coeruleus noradrenergic system' [Br J Anaesth 2020; 125: 548-59].,Wang D; Huang Y; Wang X; Chen X; Li J; Zhang S; Wu J; Liu D; Ma D; Mei W,,https://pubmed.ncbi.nlm.nih.gov/40506341/,2025 Aug,2025-08-01,2025,2025-08
40506340,British journal of anaesthesia,"Automatic, targeted, and unobtrusive intraoperative reminders to improve neuromuscular transmission monitoring: a retrospective cohort study.",Krijtenburg P; Bijkerk V; Bruhn J; Scheffer GJ; Keijzer C; Warle MC,,https://pubmed.ncbi.nlm.nih.gov/40506340/,2025 Aug,2025-08-01,2025,2025-08
40505033,Anesthesia and analgesia,Processed Electroencephalogram Monitoring During Trauma Surgery.,Tuler M; Canelli R; Mustafa W; Lambert D,,https://pubmed.ncbi.nlm.nih.gov/40505033/,2025 Aug 1,2025-08-01,2025,2025-08
40500601,British journal of anaesthesia,"Association between preoperative anaemia, transfusion, and outcomes in children undergoing noncardiac surgery.",McCormack G; Faraoni D; DiNardo JA; Goobie SM,"BACKGROUND: We aimed to evaluate the incidence of preoperative anaemia and transfusion over the last 11 yr and the association between anaemia, transfusion, and postoperative outcomes in children undergoing noncardiac surgery. METHODS: We identified children 1-18 yr of age who had a preoperative haematocrit recorded between 2012 and 2023 in the American College of Surgeons National Surgical Quality Improvement Program paediatric databases. Patients were included in four groups: patients without anaemia who did not receive a transfusion, patients without anaemia who did receive a transfusion, patients with anaemia who did not receive a transfusion, and patients with anaemia who did receive a transfusion. The outcomes were 30-day mortality and postoperative complications. RESULTS: The incidence of preoperative anaemia was 25.7% (n=110 341), and the overall transfusion rate was 10.4% (n=44 808). Between 2012 and 2023, the incidences of preoperative anaemia and transfusion remained stable. The incidence of 30-day mortality increased significantly between children without anaemia who did not receive a transfusion (0.08%), without anaemia who did receive a transfusion (0.30%), with anaemia who did not receive a transfusion (0.27%), or with anaemia who did receive a transfusion (1.11%). The highest incidence of complications was found in children with anaemia exposed to perioperative transfusion. CONCLUSIONS: The incidence of preoperative anaemia and transfusion in children have remained stable in the last 11 yr. Anaemia, transfusion, and the combination of both increased 30-day mortality and the incidence of postoperative complications.",https://pubmed.ncbi.nlm.nih.gov/40500601/,2025 Aug,2025-08-01,2025,2025-08
40493503,Anesthesia and analgesia,Artificial Intelligence in Anesthesia Enters the Evidence-Based Era With Retrieval-Augmented Generation.,Fogagnoli A Almeida V; Dantas M; Duncan AE,,https://pubmed.ncbi.nlm.nih.gov/40493503/,2025 Aug 1,2025-08-01,2025,2025-08
40493502,Anesthesia and analgesia,Dogs in Perioperative Areas: Guidelines Needed.,Johnstone RE; Ribaya DN,,https://pubmed.ncbi.nlm.nih.gov/40493502/,2025 Aug 1,2025-08-01,2025,2025-08
40493406,Anesthesiology,Continuing Anesthesia Services in the Face of a Prolonged Digital Health System Outage.,Cheon EC; Shaffer S; McCarthy K; Leavitt O; Mukerji S; Hardy C,"In today's digitized healthcare environment, electronic health records (EHRs) and other electronic systems are key to daily hospital operations, patient care, and compliance. The authors' institution underwent a prolonged EHR system outage that caused the Department of Pediatric Anesthesiology to rely on established downtime procedures. While the intraoperative EHR is lost, this is only one of many domains that can be affected by an outage. In fact, all aspects of care, from patient identification materials to operating room schedules to in-house communication, can be significantly affected. Anesthesia providers must be ready to revert to preestablished downtime protocols to continue safe care while also maintaining financial sustainability. The following narrative review details the department's operational responses and outlines how safe and quality health care continued to be delivered, providing recommendations for other hospitals that may face similar challenges.",https://pubmed.ncbi.nlm.nih.gov/40493406/,2025 Aug 1,2025-08-01,2025,2025-08
40493402,Anesthesiology,Perioperative Use of Activated Prothrombin Complex Concentrates.,Panigrahi AK; Shaw JR,,https://pubmed.ncbi.nlm.nih.gov/40493402/,2025 Aug 1,2025-08-01,2025,2025-08
40483184,British journal of anaesthesia,Predictive role of central nervous system-driven symptoms in the development of chronic primary pain.,Trouvin AP; Bailly F,"A recent study by Kelleher and colleagues highlights a significant association between central nervous system-driven symptoms and subsequent development of chronic primary pain. Utilising data from the UK Biobank, the study suggests that symptoms such as sleep disturbances, mood disorders, and cognitive impairments precede the onset of chronic primary pain, presenting a potential window for early intervention. This research enhances our understanding of nociplastic pain mechanisms, emphasising the need for preventive strategies for individuals at risk.",https://pubmed.ncbi.nlm.nih.gov/40483184/,2025 Aug,2025-08-01,2025,2025-08
40483183,British journal of anaesthesia,Regional anaesthesia modalities for primary total hip arthroplasty: a systematic review and component network meta-analysis.,Lee KH; Wang JC; Chang CY; Teng WN; Wang HY; Lee CC; Tsai SW; Chen CF; Wu PK; Chen WM,"BACKGROUND: Regional nerve blocks potentially offer superior pain control for patients undergoing primary total hip arthroplasty. However, the optimal single-shot regional anaesthesia modality remains unclear. METHODS: PubMed, Embase, Cochrane, and Web of Science databases were searched from inception to May 5, 2024. Randomised controlled trials comparing various single-shot regional anaesthesia modalities were included. Frequentist and component network meta-analyses were performed. The primary outcomes included static and dynamic pain (visual analogue scale [VAS]) at 6 and 12 h after operation and total morphine consumption at 24 h. Additional outcomes included opioid-related adverse effects, patient satisfaction, quality of recovery, and postoperative lower limb muscle power. RESULTS: Eighty-seven randomised controlled trials were included. In static VAS, femoral nerve block ranked best (surface under the cumulative ranking curve (SUCRA)=92.8%), followed by lumbar plexus block (LPB) plus local infiltrative analgesia (LIA) (SUCRA=85.7%) at 6 h after operation. At 12 h after operation, LPB plus LIA was top ranked (SUCRA=89.2%), followed by quadratus lumborum block plus fascia iliaca compartment block (FICB) (SUCRA=84.8%). In dynamic VAS, pericapsular nerve group (PENG) block plus LIA (SUCRA=86.3%) and LPB plus LIA (SUCRA=83.4%) ranked best at 6 and 12 h after operation, respectively. In total morphine consumption at 24 h after operation, quadratus lumborum block plus FICB ranked highest (SUCRA=85.5%), followed by LPB plus LIA (SUCRA=82.2%) and PENG plus LIA (SUCRA=76.5%). LPB, FICB, and femoral nerve block were associated with increased motor blockade affecting quadriceps or adductor muscles based on qualitative analysis. CONCLUSIONS: Combined regional anaesthesia modalities, particularly PENG plus LIA, are favourable options for primary total hip arthroplasty procedures, as they result in lower pain scores, reduced opioid consumption, and motor-sparing effects in the early postoperative period. SYSTEMATIC REVIEW PROTOCOL: PROSPERO (CRD42024544358).",https://pubmed.ncbi.nlm.nih.gov/40483183/,2025 Aug,2025-08-01,2025,2025-08
40483182,British journal of anaesthesia,Direct inhibition of cystathionine-beta-synthase by isoflurane contributes to delayed neurocognitive recovery after isoflurane general anaesthesia in mice.,Xu F; Zhang P; Liu H; Wang R; Fan Z; Gao Y; Lu Z; Cong P; Chen H; Wang J; Dong H; Xiong L; Zhao G,"BACKGROUND: Perioperative neurocognitive disorders (PND) are severe complications of surgery and other invasive procedures. However, the underlying mechanisms by which general anaesthetics contribute to PND remain largely unknown. Based on our findings of a link between hyperhomocysteinaemia and increased risk of PND, we investigated functional alterations in cystathionine-beta-synthase (CBS) and its role in memory function after general anaesthesia. METHODS: Mice were subjected to isoflurane 1.4 vol% anaesthesia for 2 h, and the levels of homocysteine, homocysteine-associated enzyme expression, and CBS activity were measured using ELISA. The time course of memory reconstruction after general anaesthesia was evaluated using the contextual fear conditioning test. WaterLOGSY was used to examine the interaction between isoflurane and CBS. A hydrogen sulfide (H(2)S) probe, AZ-NO(2), was used for H(2)S bioimaging, and RNA sequencing, sulfhydrome detection, and in vivo electrophysiological recordings were performed to explore the underlying mechanisms. RESULTS: The decline in cognitive function persisted for at least 8 h after isoflurane anaesthesia, which is attributed to the selective homocysteine accumulation in the brain via direct inhibition of CBS activity by isoflurane. Activation of CBS alleviates the reduction of H(2)S and alters the sulfhydration of synaptic-related proteins, ultimately accelerating the restoration of neuronal firing rates in the hippocampus (saline, 1.42 [0.49] vs NaHS, 2.45 [0.68] Hz). Pretreatment with S-adenosylmethionine (SAM, CBS activator) could increase the freezing time of mice after isoflurane anaesthesia (control 4.86 [3.30]% vs SAM, 9.89 [3.03]%). CONCLUSIONS: Isoflurane contributes to delayed cognitive recovery after isoflurane anaesthesia in mice by directly inhibiting CBS activity, providing novel insights into the involvement of isoflurane in PNDs and their underlying mechanisms.",https://pubmed.ncbi.nlm.nih.gov/40483182/,2025 Aug,2025-08-01,2025,2025-08
40480917,British journal of anaesthesia,Respiratory impact of local anaesthetic volume after interscalene brachial plexus block with extrafascial injection. Comment on Br J Anaesth 2025; 134: 1153-60.,Edward R,,https://pubmed.ncbi.nlm.nih.gov/40480917/,2025 Aug,2025-08-01,2025,2025-08
